Day,Species,Low Temperature (F),High Temperature (F),Co2 (%),Nitrogen (%),Dependent Animals Count,Deforestation (0/1),Snow (mm),Precipitation (mm),Noise Level (dB),Vistors Count,Transition
1,Grey Wolve,10,31,81,55,25000,0,30,0,31,1000,0
2,Grey Wolve,10,31,79,54,25000,0,10,0,30,900,0
3,Grey Wolve,10,31,80,55,25000,0,40,0,30,1000,0
4,Grey Wolve,10,31,81,53,25000,0,20,0,32,900,0
5,Grey Wolve,10,31,78,55,25000,0,31,0,35,850,0
6,Grey Wolve,10,31,78,54,25000,0,21,0,30,700,0
7,Grey Wolve,10,31,77,55,25000,0,9,3,20,1000,0
8,Grey Wolve,10,31,81,53,25000,0,0,6,30,1100,0
9,Grey Wolve,10,31,80,55,25000,0,11,0,30,950,0
10,Grey Wolve,10,31,80,55,25000,0,45,0,20,850,0
11,Grey Wolve,10,31,82,54,25000,0,64,0,30,500,1
12,Grey Wolve,10,31,79,53,25000,0,0,5,30,1000,0
13,Grey Wolve,10,31,78,55,25000,0,0,4,35,1200,0
14,Grey Wolve,10,31,80,54,25000,0,11,0,30,1000,0
15,Grey Wolve,10,31,81,55,25000,0,35,0,30,900,0
16,Grey Wolve,10,31,79,54,25000,0,45,0,33,1000,0
17,Grey Wolve,10,31,80,55,25000,0,12,0,29,900,0
18,Grey Wolve,10,31,81,53,25000,0,12,0,30,1000,0
19,Grey Wolve,10,31,78,55,25000,0,67,0,21,900,0
20,Grey Wolve,10,31,78,54,25000,0,4,1,30,850,0
21,Grey Wolve,10,31,77,55,25000,0,5,2,33,700,0
22,Grey Wolve,10,31,81,53,25000,0,23,0,29,1000,0
23,Grey Wolve,10,31,80,55,25000,0,34,0,24,1100,0
24,Grey Wolve,10,31,80,55,25000,0,32,0,40,950,0
25,Grey Wolve,10,31,82,54,25000,0,23,0,30,850,0
26,Grey Wolve,10,31,79,53,25000,0,23,0,21,500,0
27,Grey Wolve,10,31,78,55,25000,0,5,8,34,1000,0
28,Grey Wolve,10,31,80,54,25000,0,0,4,21,1200,1
29,Grey Wolve,10,31,81,55,25000,0,12,0,21,1000,0
30,Grey Wolve,10,31,79,54,25000,0,16,2,31,900,0
31,Grey Wolve,13,34,80,55,24000,0,30,0,31,900,0
32,Grey Wolve,13,34,81,53,24000,0,10,0,30,900,0
33,Grey Wolve,13,34,78,55,24000,0,30,0,30,1000,0
34,Grey Wolve,13,34,78,54,24000,0,20,0,32,900,0
35,Grey Wolve,13,34,77,55,24000,0,31,0,35,850,0
36,Grey Wolve,13,34,81,53,24000,0,21,0,30,700,0
37,Grey Wolve,13,34,80,55,24000,0,9,3,20,1000,0
38,Grey Wolve,13,34,80,55,24000,0,0,6,30,1100,0
39,Grey Wolve,13,34,82,54,24000,0,11,0,30,950,0
40,Grey Wolve,13,34,79,53,24000,0,25,0,20,850,0
41,Grey Wolve,13,34,78,55,24000,0,34,0,30,500,0
42,Grey Wolve,13,34,80,54,24000,0,0,5,30,1000,0
43,Grey Wolve,13,34,81,55,24000,0,0,4,35,1200,0
44,Grey Wolve,13,34,79,54,24000,0,11,0,30,1000,0
45,Grey Wolve,13,34,80,55,24000,0,35,0,30,900,0
46,Grey Wolve,13,34,81,53,24000,0,45,0,33,1000,0
47,Grey Wolve,13,34,78,55,24000,0,12,0,29,900,0
48,Grey Wolve,13,34,78,54,24000,0,12,0,30,1000,0
49,Grey Wolve,13,34,77,55,24000,0,57,0,21,900,0
50,Grey Wolve,13,34,81,53,24000,0,4,1,30,850,0
51,Grey Wolve,13,34,80,55,24000,0,5,2,33,700,0
52,Grey Wolve,13,34,80,55,24000,0,23,0,29,1000,0
53,Grey Wolve,13,34,82,54,24000,0,31,0,24,1100,0
54,Grey Wolve,13,34,79,53,24000,0,32,0,40,950,0
55,Grey Wolve,13,34,78,55,24000,0,13,0,30,850,0
56,Grey Wolve,13,34,80,54,24000,0,23,0,21,500,0
57,Grey Wolve,13,34,81,55,24000,0,5,8,34,1000,0
58,Grey Wolve,13,34,79,54,24000,0,0,4,21,1200,0
59,Grey Wolve,13,34,80,55,24000,0,12,0,21,1000,0
60,Grey Wolve,13,34,81,53,24000,0,16,2,31,900,0
61,Grey Wolve,13,34,78,55,24000,0,30,0,31,1000,0
62,Grey Wolve,18,40,78,54,24000,0,10,0,30,900,0
63,Grey Wolve,18,40,77,55,24000,0,40,0,30,1000,0
64,Grey Wolve,18,40,81,53,24000,0,20,0,32,900,0
65,Grey Wolve,18,40,80,55,24000,0,31,0,35,850,0
66,Grey Wolve,18,40,80,55,24000,0,21,0,30,700,0
67,Grey Wolve,18,40,82,54,24000,0,9,3,20,1000,0
68,Grey Wolve,18,40,79,53,24000,0,0,6,30,850,0
69,Grey Wolve,18,40,78,55,24000,0,11,0,30,950,0
70,Grey Wolve,18,40,80,54,24000,0,45,0,20,850,0
71,Grey Wolve,18,40,81,55,24000,0,64,0,30,500,0
72,Grey Wolve,18,40,79,54,24000,0,0,5,30,1000,0
73,Grey Wolve,18,40,80,55,23800,0,0,4,35,100,0
74,Grey Wolve,18,40,81,53,23800,0,11,0,30,1000,0
75,Grey Wolve,18,40,78,55,23800,0,35,0,30,900,0
76,Grey Wolve,18,40,78,54,23800,0,45,0,33,100,0
77,Grey Wolve,18,40,77,55,23800,0,12,1,29,900,0
78,Grey Wolve,18,40,81,53,23800,0,12,0,30,1000,0
79,Grey Wolve,18,40,80,55,23800,0,67,0,21,900,0
80,Grey Wolve,18,40,80,55,23800,0,4,1,30,850,0
81,Grey Wolve,18,40,82,54,23800,0,5,2,33,700,0
82,Grey Wolve,18,40,79,53,23800,0,23,0,29,900,0
83,Grey Wolve,18,40,78,55,23800,0,34,0,24,1000,0
84,Grey Wolve,18,40,80,54,23800,0,32,0,40,950,0
85,Grey Wolve,18,40,81,55,23800,0,23,0,30,850,0
86,Grey Wolve,18,40,79,54,23800,0,23,0,21,500,0
87,Grey Wolve,18,40,80,55,24000,0,5,8,34,1000,0
88,Grey Wolve,18,40,81,53,24000,0,0,4,21,900,1
89,Grey Wolve,18,40,78,55,24000,0,12,0,21,1000,0
90,Grey Wolve,26,50,78,54,24000,0,16,2,31,900,0
91,Grey Wolve,26,50,77,55,24000,0,5,0,31,1000,0
92,Grey Wolve,26,50,81,53,24000,0,6,0,30,1900,0
93,Grey Wolve,26,50,80,55,24000,0,3,0,30,1000,0
94,Grey Wolve,26,50,80,55,24000,0,7,0,32,900,0
95,Grey Wolve,26,50,82,54,24000,0,8,0,35,1850,0
96,Grey Wolve,26,50,79,53,24000,0,3,0,30,700,0
97,Grey Wolve,26,50,78,55,24000,0,5,3,20,1000,0
98,Grey Wolve,26,50,80,54,24000,0,1,6,30,1100,0
99,Grey Wolve,26,50,81,55,24000,0,0,0,30,950,0
100,Grey Wolve,26,50,79,54,24000,0,5,1,20,850,0
101,Grey Wolve,26,50,80,55,24000,0,10,0,30,500,0
102,Grey Wolve,26,50,81,53,24000,0,4,5,30,1000,0
103,Grey Wolve,26,50,78,55,24000,0,6,4,35,1200,0
104,Grey Wolve,26,50,78,54,24000,0,5,0,30,1000,0
105,Grey Wolve,26,50,77,55,24000,0,6,0,30,900,0
106,Grey Wolve,26,50,81,53,24000,0,3,0,33,1000,0
107,Grey Wolve,26,50,80,55,24000,0,7,0,29,900,0
108,Grey Wolve,26,50,80,55,24000,0,8,3,30,1500,0
109,Grey Wolve,26,50,82,54,24000,0,3,0,21,900,0
110,Grey Wolve,26,50,79,53,24000,0,5,1,30,850,0
111,Grey Wolve,26,50,78,55,24000,0,1,2,33,1700,0
112,Grey Wolve,26,50,80,54,24000,0,0,0,29,1000,0
113,Grey Wolve,26,50,81,55,24000,0,5,0,24,1100,0
114,Grey Wolve,26,50,79,54,24000,0,10,0,40,950,0
115,Grey Wolve,26,50,80,55,24000,0,4,0,30,850,0
116,Grey Wolve,26,50,81,53,24000,0,6,0,21,1500,0
117,Grey Wolve,26,50,78,55,24500,0,4,8,34,1000,0
118,Grey Wolve,26,50,78,54,24500,0,5,4,21,1200,0
119,Grey Wolve,26,50,77,55,24500,0,6,0,21,1000,0
120,Grey Wolve,26,50,81,53,24500,0,3,2,31,1900,0
121,Grey Wolve,34,60,80,55,24500,0,7,0,31,12000,0
122,Grey Wolve,34,60,80,55,24500,0,8,0,30,12000,0
123,Grey Wolve,34,60,82,54,24500,0,3,2,30,11000,0
124,Grey Wolve,34,60,79,53,24500,0,5,0,32,13000,0
125,Grey Wolve,34,60,78,55,24500,0,1,0,35,12000,0
126,Grey Wolve,34,60,80,54,24500,0,0,0,30,10000,0
127,Grey Wolve,34,60,81,55,24500,0,5,3,20,13000,0
128,Grey Wolve,34,60,79,54,24500,0,10,6,30,14000,0
129,Grey Wolve,34,60,80,55,24500,0,4,0,30,12000,0
130,Grey Wolve,34,60,81,53,24500,0,6,0,20,12000,0
131,Grey Wolve,34,60,78,55,24500,0,0,0,30,14000,0
132,Grey Wolve,34,60,78,54,24500,0,5,5,30,10000,0
133,Grey Wolve,34,60,77,55,24500,0,4,4,35,9000,0
134,Grey Wolve,34,60,81,53,24500,0,0,0,30,11000,0
135,Grey Wolve,34,60,80,55,24500,0,0,0,30,12000,0
136,Grey Wolve,34,60,80,55,24500,0,3,3,33,12000,0
137,Grey Wolve,34,60,82,54,24500,0,0,0,29,13000,0
138,Grey Wolve,34,60,79,53,24500,0,0,0,30,14000,0
139,Grey Wolve,34,60,78,55,24500,0,0,0,21,15000,0
140,Grey Wolve,34,60,80,54,24500,0,1,1,30,12000,0
141,Grey Wolve,34,60,81,55,24500,0,2,2,33,12000,0
142,Grey Wolve,34,60,79,54,24500,0,0,0,29,13000,0
143,Grey Wolve,34,60,80,55,24500,0,0,0,24,12500,0
144,Grey Wolve,34,60,81,53,24500,0,0,0,40,11000,0
145,Grey Wolve,34,60,78,55,24500,0,0,0,30,10500,0
146,Grey Wolve,34,60,78,54,24500,0,0,0,21,11000,0
147,Grey Wolve,34,60,77,55,24500,0,8,8,34,12000,1
148,Grey Wolve,34,60,81,53,24500,0,4,4,21,10000,1
149,Grey Wolve,34,60,80,55,24500,0,0,0,21,9500,1
150,Grey Wolve,34,60,80,55,24500,0,2,2,31,11000,1
151,Grey Wolve,41,70,82,54,24500,1,0,0,31,12000,1
152,Grey Wolve,41,70,79,53,24500,1,0,0,30,24000,1
153,Grey Wolve,41,70,78,55,24500,1,0,0,30,22000,1
154,Grey Wolve,41,70,80,54,24500,1,0,0,32,26000,1
155,Grey Wolve,41,70,81,55,24500,1,0,0,35,24000,1
156,Grey Wolve,41,70,79,54,24500,0,0,0,30,20000,0
157,Grey Wolve,41,70,80,55,24500,1,3,3,20,26000,0
158,Grey Wolve,41,70,81,53,24500,0,6,6,30,28000,1
159,Grey Wolve,41,70,78,55,24500,0,0,0,30,24000,0
160,Grey Wolve,41,70,78,54,24500,0,0,0,20,24000,0
161,Grey Wolve,41,70,77,55,24500,0,0,0,30,28000,1
162,Grey Wolve,41,70,81,53,24500,0,5,5,30,20000,0
163,Grey Wolve,41,70,80,55,24500,0,4,4,35,18000,0
164,Grey Wolve,41,70,80,55,24500,0,0,0,30,24000,0
165,Grey Wolve,41,70,82,54,24500,0,0,0,30,22000,0
166,Grey Wolve,41,70,79,53,24500,0,0,0,33,26000,0
167,Grey Wolve,41,70,78,55,24500,0,0,0,29,24000,1
168,Grey Wolve,41,70,80,54,24500,0,0,0,30,20000,1
169,Grey Wolve,41,70,81,55,24500,0,0,0,21,26000,0
170,Grey Wolve,41,70,79,54,24500,0,1,1,30,28000,0
171,Grey Wolve,41,70,80,55,24500,0,2,2,33,24000,0
172,Grey Wolve,41,70,81,53,24500,0,0,0,29,24000,0
173,Grey Wolve,41,70,78,55,24500,0,0,0,24,28000,1
174,Grey Wolve,41,70,78,54,24500,0,0,0,40,20000,0
175,Grey Wolve,41,70,77,55,24500,0,0,0,30,18000,0
176,Grey Wolve,41,70,81,53,24500,0,0,0,21,24000,0
177,Grey Wolve,41,70,80,55,24500,0,8,8,34,22000,0
178,Grey Wolve,41,70,80,55,24500,0,4,4,21,26000,0
179,Grey Wolve,41,70,82,54,24500,0,0,0,21,24000,0
180,Grey Wolve,41,70,79,53,24500,0,0,2,31,20000,0
181,Grey Wolve,41,70,78,55,24500,0,0,0,31,26000,0
182,Grey Wolve,46,79,80,54,24500,0,0,0,30,28000,0
183,Grey Wolve,46,79,81,55,24500,0,0,0,30,24000,0
184,Grey Wolve,46,79,79,54,24500,0,0,0,32,24000,0
185,Grey Wolve,46,79,80,55,24500,0,0,0,35,28000,0
186,Grey Wolve,46,79,81,53,24500,0,0,0,30,20000,0
187,Grey Wolve,46,79,78,55,24500,0,0,3,20,18000,0
188,Grey Wolve,46,79,78,54,24500,0,0,6,30,36000,0
189,Grey Wolve,46,79,77,55,24500,0,0,0,30,33000,0
190,Grey Wolve,46,79,81,53,24500,0,0,0,20,39000,0
191,Grey Wolve,46,79,80,55,24500,0,0,0,30,36000,0
192,Grey Wolve,46,79,80,55,24500,0,0,5,30,30000,0
193,Grey Wolve,46,79,82,54,24500,0,0,4,35,39000,0
194,Grey Wolve,46,79,79,53,24500,0,0,0,30,42000,0
195,Grey Wolve,46,79,78,55,24500,0,0,0,30,36000,0
196,Grey Wolve,46,79,80,54,24500,0,0,0,33,36000,0
197,Grey Wolve,46,79,81,55,24500,0,0,0,29,42000,0
198,Grey Wolve,46,79,79,54,24500,0,0,0,30,30000,0
199,Grey Wolve,46,79,80,55,24500,0,0,0,21,27000,0
200,Grey Wolve,46,79,81,53,24500,0,0,1,30,36000,0
201,Grey Wolve,46,79,78,55,24500,0,0,2,33,33000,0
202,Grey Wolve,46,79,78,54,24500,0,0,0,29,39000,0
203,Grey Wolve,46,79,77,55,24500,0,0,0,24,36000,0
204,Grey Wolve,46,79,81,53,24500,0,0,0,40,30000,0
205,Grey Wolve,46,79,80,55,24500,0,0,0,30,39000,0
206,Grey Wolve,46,79,80,55,24500,0,0,0,21,42000,0
207,Grey Wolve,46,79,82,54,24500,0,0,8,34,36000,0
208,Grey Wolve,46,79,79,53,24500,0,0,4,21,36000,0
209,Grey Wolve,46,79,78,55,24500,0,0,0,21,42000,0
210,Grey Wolve,46,79,80,54,24500,0,0,2,31,30000,0
211,Grey Wolve,45,78,81,55,24500,0,0,0,31,27000,0
212,Grey Wolve,45,78,79,54,24500,0,0,0,30,36000,0
213,Grey Wolve,45,78,80,55,24500,0,0,0,30,33000,0
214,Grey Wolve,45,78,81,53,24500,0,0,0,32,39000,0
215,Grey Wolve,45,78,78,55,24500,0,0,0,35,36000,1
216,Grey Wolve,45,78,78,54,24500,0,0,0,30,30000,0
217,Grey Wolve,45,78,77,55,24500,0,0,3,20,39000,0
218,Grey Wolve,45,78,81,53,24500,0,0,6,30,42000,0
219,Grey Wolve,45,78,80,55,24500,0,0,0,30,36000,1
220,Grey Wolve,45,78,80,55,24500,0,0,0,20,36000,0
221,Grey Wolve,45,78,82,54,25500,0,0,0,30,42000,0
222,Grey Wolve,45,78,79,53,25500,0,0,5,30,30000,0
223,Grey Wolve,45,78,78,55,25500,0,0,4,35,27000,0
224,Grey Wolve,45,78,80,54,25500,0,0,0,30,36000,0
225,Grey Wolve,45,78,81,55,25500,0,0,0,30,33000,0
226,Grey Wolve,45,78,79,54,25500,0,0,0,33,39000,0
227,Grey Wolve,45,78,80,55,25500,0,0,0,29,36000,0
228,Grey Wolve,45,78,81,53,25500,0,0,0,30,30000,0
229,Grey Wolve,45,78,78,55,25500,0,0,0,21,39000,0
230,Grey Wolve,45,78,78,54,25500,0,0,1,30,42000,0
231,Grey Wolve,45,78,77,55,25500,0,0,2,33,36000,0
232,Grey Wolve,45,78,81,53,25500,0,0,0,29,36000,0
233,Grey Wolve,45,78,80,55,25500,0,0,0,24,42000,0
234,Grey Wolve,45,78,80,55,25500,0,0,0,40,30000,0
235,Grey Wolve,45,78,82,54,25500,0,0,0,30,27000,0
236,Grey Wolve,45,78,79,53,25500,0,0,0,21,22000,0
237,Grey Wolve,45,78,78,55,25500,0,0,8,34,26000,0
238,Grey Wolve,45,78,80,54,25500,0,0,4,21,24000,0
239,Grey Wolve,45,78,81,55,25500,0,0,0,21,20000,0
240,Grey Wolve,45,78,79,54,25500,0,0,2,31,26000,0
241,Grey Wolve,45,78,80,55,25500,0,0,0,31,28000,0
242,Grey Wolve,37,68,81,53,25500,0,0,0,30,24000,0
243,Grey Wolve,37,68,78,55,25500,0,0,0,30,24000,0
244,Grey Wolve,37,68,78,54,25500,0,0,0,32,28000,0
245,Grey Wolve,37,68,77,55,25500,0,0,0,35,20000,0
246,Grey Wolve,37,68,81,53,25500,0,0,0,30,18000,0
247,Grey Wolve,37,68,80,55,25500,0,0,3,20,24000,0
248,Grey Wolve,37,68,80,55,25500,1,0,6,30,22000,0
249,Grey Wolve,37,68,82,54,25500,1,0,0,30,26000,0
250,Grey Wolve,37,68,79,53,25500,1,0,0,20,24000,1
251,Grey Wolve,37,68,78,55,25500,1,0,0,30,22000,1
252,Grey Wolve,37,68,80,54,25500,1,0,5,30,26000,1
253,Grey Wolve,37,68,81,55,25500,0,0,4,35,24000,0
254,Grey Wolve,37,68,79,54,25500,0,0,0,30,20000,0
255,Grey Wolve,37,68,80,55,25500,0,0,0,30,26000,0
256,Grey Wolve,37,68,81,53,25500,0,0,0,33,28000,1
257,Grey Wolve,37,68,78,55,25500,0,1,0,29,24000,0
258,Grey Wolve,37,68,78,54,25500,0,0,0,30,24000,0
259,Grey Wolve,37,68,77,55,25500,0,4,0,21,28000,0
260,Grey Wolve,37,68,81,53,25500,0,3,1,30,20000,0
